st_gender,st_spg,st_mmog,st_age,st_immig,st_belong,st_repeat,pa_books,pa_educ,pa_escs,W_FSTUWT,math_score,scie_score,read_score,good_math,good_scie,good_read,bad_math,bad_scie,bad_read
Female,Never or hardly ever,Never or hardly ever,16.33,Native,.6642,1,201-500 books,18,1.65,97.1866,523.17157,568.53802,570.95673,0,0,0,0,0,0
Male,Almost every day,Once or twice a month,16.08,Second-Generation,.4801,0,26-100 books,18,.8815,92.53379,659.02539,688.68518,616.07892,1,1,1,0,0,0
Male,Once or twice a week,Once or twice a week,15.92,Second-Generation,1.5611,0,26-100 books,18,1.0158,92.53379,587.19849,612.80139,599.22717,0,1,0,0,0,0
Male,Never or hardly ever,Almost every day,16.08,Native,.2526,0,More than 500 books,18,1.2865,92.53379,645.28552,616.10242,583.93158,1,1,0,0,0,0
Male,Once or twice a month,Once or twice a month,16.33,Second-Generation,2.5915,0,11-25 books,3,-2.3008,92.53379,552.5144,531.8078,527.30872,0,0,0,0,0,0
Male,Once or twice a week,Every day,16.33,Native,1.1245,0,26-100 books,18,1.3454,92.53379,574.91479,605.22809,612.48767,0,1,1,0,0,0
Male,Once or twice a week,Once or twice a week,16.25,Second-Generation,2.5915,0,26-100 books,18,.085,92.53379,561.5235,555.52087,540.13641,0,0,0,0,0,0
Male,Never or hardly ever,Never or hardly ever,16.17,Native,.9646,0,201-500 books,18,1.4534,92.53379,661.26068,704.2547,654.72241,1,1,1,0,0,0
Female,Once or twice a month,Never or hardly ever,15.67,Second-Generation,-1.0894,0,201-500 books,13,-1.2493,104.5757,590.08063,569.78589,585.36511,0,0,0,0,0,0
Female,Once or twice a month,Every day,15.75,Native,.5423,1,101-200 books,13,-.155,149.5898,436.3533,437.06061,454.69559,0,0,0,1,1,0
Male,Every day,Every day,15.5,Native,-.8248,1,0-10 books,10,-1.2064,138.8201,470.7897,473.23059,479.96939,0,0,0,0,0,0
Male,Never or hardly ever,Never or hardly ever,15.83,Native,.6642,1,26-100 books,10,-1.2184,138.8201,513.58539,562.81891,516.63177,0,0,0,0,0,0
Male,Once or twice a week,Every day,15.67,First-Generation,.9646,1,11-25 books,15,.6064000000000001,138.8201,491.26459,505.6311,588.59381,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.58,Native,.2669,1,11-25 books,15,.7118,149.5898,409.97449,426.177,483.14169,0,0,0,1,1,0
Female,Never or hardly ever,Never or hardly ever,15.67,Second-Generation,-1.0036,0,0-10 books,10,-1.7832,149.5898,459.92471,462.27429,529.547,0,0,0,0,0,0
Female,Once or twice a month,Never or hardly ever,15.75,First-Generation,-.0874,0,26-100 books,18,.7156,149.5898,390.79199,372.0173,373.9657,0,0,0,1,1,1
Female,Never or hardly ever,Never or hardly ever,15.42,Native,.0573,0,101-200 books,18,.8152,149.5898,440.7905,444.22919,566.25317,0,0,0,1,1,0
Male,Never or hardly ever,Never or hardly ever,15.58,Second-Generation,-1.0127,0,26-100 books,13,.0726,138.8201,416.48419,371.0014,394.6976,0,0,0,1,1,1
Male,Almost every day,Every day,15.33,First-Generation,-.7944,1,26-100 books,18,1.0988,138.8201,584.57257,550.72369,560.74719,0,0,0,0,0,0
Male,Almost every day,Almost every day,15.42,Native,.6642,0,11-25 books,13,-.0083,138.8201,533.10608,477.5575,498.2948,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.83,Second-Generation,-.3528,0,11-25 books,15,.4637,125.6471,450.31699,433.27899,510.49289,0,0,0,0,1,0
Female,Never or hardly ever,Never or hardly ever,15.83,Second-Generation,.6642,0,11-25 books,3,-2.4223,125.6471,445.4249,454.2847,508.77069,0,0,0,1,0,0
Female,Never or hardly ever,Never or hardly ever,15.67,Native,-.2712,0,11-25 books,13,.0809,125.6471,454.5148,492.08139,587.02991,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16,Second-Generation,.0048,0,101-200 books,13,-.5092,125.6471,479.87399,504.88531,564.83191,0,0,0,0,0,0
Female,Almost every day,Never or hardly ever,15.75,Native,-.1496,0,More than 500 books,18,1.4473,125.6471,515.3927,566.9718,557.72302,0,0,0,0,0,0
Male,Once or twice a month,Once or twice a month,16,Native,-.4725,0,More than 500 books,18,2.1385,133.2609,592.84137,611.26349,580.70551,0,1,0,0,0,0
Male,Once or twice a week,Almost every day,16.25,Native,.2035,0,101-200 books,15,-.1081,133.2609,507.34119,527.84558,485.05499,0,0,0,0,0,0
Male,Never or hardly ever,Never or hardly ever,16.25,Native,.6642,0,11-25 books,13,-.1097,133.2609,617.11932,598.89941,580.6015,1,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.25,Native,.1052,0,26-100 books,13,-.3648,149.5898,551.9635,502.53448,526.58557,0,0,0,0,0,0
Male,Never or hardly ever,Almost every day,15.67,Native,-.5917,0,26-100 books,15,.3183,138.8201,514.74371,556.49072,537.06848,0,0,0,0,0,0
Male,Once or twice a week,Almost every day,15.75,Native,2.5915,0,26-100 books,10,-.1459,138.8201,467.40799,481.69629,548.80432,0,0,0,0,0,0
Male,Almost every day,Never or hardly ever,15.75,Native,2.5915,1,201-500 books,13,.3169,104.5995,533.8512,558.13391,539.1297,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.5,Native,1.398,0,More than 500 books,18,1.4363,98.51577,620.19482,632.67749,647.35291,1,1,1,0,0,0
Female,Once or twice a week,Never or hardly ever,16.17,Native,-3.1297,1,101-200 books,10,-.9469,98.51577,542.94482,542.51123,602.9989,0,0,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.67,Native,.7554999999999999,0,201-500 books,13,.2653,98.51577,497.47281,520.75043,560.41821,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.67,Native,-1.4527,0,201-500 books,18,1.0011,98.51577,555.41321,587.68109,533.44061,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.67,Native,2.5915,0,201-500 books,18,1.3963,98.51577,594.30249,616.05182,619.68622,0,1,1,0,0,0
Male,Never or hardly ever,Never or hardly ever,15.67,Native,2.5915,0,26-100 books,18,2.1107,104.5995,568.70978,586.4342,552.81079,0,0,0,0,0,0
Male,Once or twice a month,Every day,15.67,Native,.7333,0,201-500 books,18,1.432,104.5995,488.95621,494.30951,524.42102,0,0,0,0,0,0
Male,Almost every day,Almost every day,15.58,Native,.9357,0,101-200 books,13,-.0512,104.5995,577.61823,594.75439,592.92908,0,0,0,0,0,0
Male,Once or twice a week,Every day,15.5,Second-Generation,-.3701,0,More than 500 books,15,.4106,104.5995,488.2778,485.93201,498.013,0,0,0,0,0,0
Male,Almost every day,Almost every day,15.67,Native,-.6912,0,0-10 books,13,.0113,104.5995,437.5603,484.42511,472.58981,0,0,0,1,0,0
Female,Almost every day,Once or twice a week,16,Native,.3171,0,26-100 books,15,.3192,98.51577,575.06531,565.62402,571.3432,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.08,Second-Generation,.1052,0,101-200 books,18,.7457,98.51577,565.33063,597.88861,598.71307,0,0,0,0,0,0
Female,Once or twice a month,Once or twice a month,16.33,Native,-.7244,0,26-100 books,15,.3396,98.51577,605.79993,641.40332,627.10712,1,1,1,0,0,0
Female,Once or twice a month,Never or hardly ever,15.67,Native,2.5915,0,0-10 books,18,-.0359,98.51577,550.15143,564.85101,594.15161,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.83,Native,-.1114,0,201-500 books,18,.3495,98.51577,558.15271,527.94342,548.4469,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.75,Native,.0901,0,More than 500 books,18,1.5111,98.51577,494.67981,518.57202,540.29828,0,0,0,0,0,0
Female,Never or hardly ever,Once or twice a month,15.92,Native,.9357,0,More than 500 books,10,-.4051,98.51577,552.00769,582.52112,620.63702,0,0,1,0,0,0
Female,Once or twice a month,Never or hardly ever,16.17,Native,1.398,0,201-500 books,13,.4803,98.51577,533.84619,579.96863,584.42767,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16,Native,.1643,0,201-500 books,18,.8395,98.51577,565.59253,590.08533,591.2677,0,0,0,0,0,0
Male,Never or hardly ever,Once or twice a week,15.92,Native,.4638,0,More than 500 books,18,1.5589,104.5332,657.25439,695.89398,654.69098,1,1,1,0,0,0
Male,Once or twice a week,Almost every day,16,Native,2.5915,0,More than 500 books,18,1.7199,104.5332,586.33063,602.72803,615.98102,0,1,1,0,0,0
Male,Once or twice a week,Once or twice a week,16.25,Native,1.5043,0,201-500 books,13,1.0053,104.5332,620.78918,659.70709,621.35638,1,1,1,0,0,0
Female,Almost every day,Almost every day,15.75,Native,.2116,0,26-100 books,13,.1551,98.51577,533.44122,572.23389,578.36908,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.67,Native,.3171,0,26-100 books,15,.383,98.51577,542.87048,571.7699,579.11829,0,0,0,0,0,0
Male,Never or hardly ever,Once or twice a month,16.08,Native,-1.4357,1,101-200 books,15,.5908,104.5995,550.03491,572.93951,557.74487,0,0,0,0,0,0
Male,Almost every day,Almost every day,15.67,Native,.6642,1,101-200 books,15,.2832,108.8234,450.24661,462.71899,448.75861,0,0,0,0,0,1
Female,Never or hardly ever,Never or hardly ever,15.58,Native,.3171,0,26-100 books,15,.7743,113.9147,527.74939,519.82031,523.57172,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.42,Native,.3171,0,11-25 books,15,-.6064000000000001,113.9147,385.47009,408.5704,435.37659,0,0,0,1,1,1
Male,Every day,Every day,15.75,Native,.6642,0,0-10 books,15,.2684,108.8234,406.1149,351.99759,306.58011,0,0,0,1,1,1
Female,Never or hardly ever,Never or hardly ever,16.08,Second-Generation,1.5043,0,0-10 books,15,-.7475000000000001,108.2387,492.08121,508.40689,546.1842,0,0,0,0,0,0
